Company,Country,Sector,Industry
Zhejiang Zheneng Electric Power,China,Utilities,Electric Utilities
Mahindra & Mahindra,India,Consumer Discretionary,Auto & Truck Manufacturers
Swatch Group,Switzerland,Consumer Discretionary,Apparel/Accessories
Huishang Bank,China,Financials,
Vornado Realty,United States,Financials,Real Estate
Everest Re Group,Bermuda,Financials,Diversified Insurance
Bank Hapoalim,Israel,Financials,Major Banks
Shimao Property Holdings,Hong Kong,Financials,Real Estate
Saudi British Bank,Saudi Arabia,Financials,Regional Banks
Bank Negara Indonesia,Indonesia,Financials,Regional Banks
Inner Mongolia Yili,China,Consumer Staples,Food Processing
Asr Nederland,Netherlands,,
Beiersdorf,Germany,Consumer Staples,Household/Personal Care
Sharp,Japan,Consumer Discretionary,Consumer Electronics
Salesforce.com,United States,Information Technology,Software & Programming
